Student Name,Course ID,Student ID,Enrollment Number,Year,Course Name,Duration (Years),Branch,Specialization,Total Fees (Per Annum),Yearly Fees,Exam Fees,Extra Fees,Hostel Accommodation,Occupancy,City,State,Country,Email,Phone,Payment Mode,12th Percentage,10th Percentage,Hostel Room Type,Annual Income,Date of Birth
Shalv Ramaswamy,BTechCSE001,STU001,ENR001,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Double Occupancy,Hyderabad,Telangana,India,xsule@example.org,9.17483E+11,RTGS,90,78,Non-AC,400412,08/06/2001
Pihu Tank,BTechCSE002,STU002,ENR002,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Double Occupancy,Ahmedabad,Gujarat,India,sunderlavanya@example.org,9.17884E+11,RTGS,67,62,Non-AC,704796,27/08/2000
Tiya Kara,BTechCSE003,STU003,ENR003,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,horaishita@example.net,9.18421E+11,UPI,63,61,AC,507061,27/03/2004
Rasha Dube,BTechCSE004,STU004,ENR004,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,xchoudhary@example.org,9.19343E+11,Cheque,80,79,Non-AC,590917,23/02/2006
Elakshi Dubey,BTechCSE005,STU005,ENR005,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Single Occupancy,Jaipur,Rajasthan,India,madhup39@example.org,9.19493E+11,Cheque,64,66,Non-AC,625452,15/08/2000
Alia Chanda,BTechCSE006,STU006,ENR006,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Pune,Maharashtra,India,hridaan15@example.com,9.18035E+11,Cheque,78,77,Non-AC,172145,01/12/2005
Siya Arora,BTechCSE007,STU007,ENR007,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,vaidyanavya@example.org,9.19087E+11,UPI,60,64,AC,798873,26/05/2004
Zain Bir,BTechCSE008,STU008,ENR008,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Hyderabad,Telangana,India,jayan67@example.com,9.19507E+11,Cash,63,77,AC,457105,07/05/2004
Mehul Reddy,BTechCSE009,STU009,ENR009,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,viswanathanjayant@example.com,9.1879E+11,UPI,74,68,Non-AC,427260,19/07/2003
Ishaan Korpal,BTechCSE010,STU010,ENR010,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,bahlsiya@example.org,9.1714E+11,Cheque,84,60,AC,580472,13/08/2000
Lakshit Dhar,BTechCSE011,STU011,ENR011,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,balasubramanianindrajit@example.net,9.19218E+11,DD,61,69,Non-AC,555649,23/03/2001
Madhav Ghose,BTechCSE012,STU012,ENR012,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,deshmukhrania@example.com,9.17853E+11,Cash,78,91,Non-AC,216433,26/08/2001
Divij Sandhu,BTechCSE013,STU013,ENR013,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,mannebhamini@example.com,9.17579E+11,Cheque,65,65,AC,725820,21/04/2004
Drishya Raval,BTechCSE014,STU014,ENR014,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Kolkata,West Bengal,India,aaina98@example.com,9.17701E+11,UPI,82,76,Non-AC,718332,12/03/2004
Misha Sankar,BTechCSE015,STU015,ENR015,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Lucknow,Uttar Pradesh,India,vshetty@example.com,9.17545E+11,Cash,85,90,Non-AC,785268,13/07/2003
Shlok Dixit,BTechCSE016,STU016,ENR016,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Delhi,Delhi,India,ukant@example.net,9.17784E+11,DD,78,79,Non-AC,298574,01/05/2004
Anahita Deshmukh,BTechCSE017,STU017,ENR017,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Triple Occupancy,Chennai,Tamil Nadu,India,goelaradhya@example.com,9.17206E+11,DD,90,68,Non-AC,404544,25/08/2005
Reyansh Lall,BTechCSE018,STU018,ENR018,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Double Occupancy,Ahmedabad,Gujarat,India,hanshkoshy@example.com,9.1958E+11,RTGS,71,90,AC,320181,14/04/2005
Shalv Sridhar,BTechCSE019,STU019,ENR019,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,samihabhatti@example.net,9.18984E+11,DD,60,60,Non-AC,610496,14/10/2004
Badal Doshi,BTechCSE020,STU020,ENR020,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Chennai,Tamil Nadu,India,trivedijayesh@example.net,9.19887E+11,RTGS,78,69,Non-AC,749867,07/03/2006
Dhruv Balakrishnan,BTechCSE021,STU021,ENR021,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Bengaluru,Karnataka,India,setheshani@example.com,9.18314E+11,RTGS,74,82,Non-AC,326598,01/12/2003
Shray Sethi,BTechCSE022,STU022,ENR022,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,adahsingh@example.org,9.18238E+11,Cheque,66,62,Non-AC,393897,17/01/2001
Pranay Mannan,BTechCSE023,STU023,ENR023,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Triple Occupancy,Pune,Maharashtra,India,anayabanerjee@example.com,9.18886E+11,Cheque,71,63,Non-AC,350145,07/05/2001
Amani Sant,BTechCSE024,STU024,ENR024,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Double Occupancy,Lucknow,Uttar Pradesh,India,nayantara20@example.com,9.17073E+11,Cheque,76,83,Non-AC,213328,23/11/2003
Lakshit Bhalla,BTechCSE025,STU025,ENR025,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Double Occupancy,Kolkata,West Bengal,India,wasonmehul@example.org,9.19236E+11,Cheque,63,83,Non-AC,672080,08/10/2005
Jivin Bansal,BTechCSE026,STU026,ENR026,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Double Occupancy,Pune,Maharashtra,India,talwaranya@example.net,9.17875E+11,DD,64,81,Non-AC,531099,13/06/2006
Tejas Madan,BTechCSE027,STU027,ENR027,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,guhanehmat@example.com,9.17927E+11,RTGS,62,65,Non-AC,408476,25/08/2001
Devansh Arya,BTechCSE028,STU028,ENR028,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Triple Occupancy,Delhi,Delhi,India,advikahluwalia@example.com,9.19735E+11,UPI,67,88,Non-AC,373325,02/12/2002
Nitya Jaggi,BTechCSE029,STU029,ENR029,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Double Occupancy,Lucknow,Uttar Pradesh,India,hrishita33@example.com,9.1747E+11,RTGS,68,77,Non-AC,790228,08/11/2003
Jivin Manne,BTechCSE030,STU030,ENR030,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,sakshamsinha@example.org,9.19788E+11,Cheque,65,74,AC,421348,10/11/2001
Faiyaz Hans,BTechCSE031,STU031,ENR031,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Triple Occupancy,Bengaluru,Karnataka,India,ivan41@example.net,9.17181E+11,Cash,68,60,Non-AC,725081,23/08/2004
Ishita Chander,BTechCSE032,STU032,ENR032,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Internet of Things and Cyber Security Including Blockchain Technology,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,hegdepranay@example.com,9.18836E+11,Cash,78,85,AC,273131,30/09/2002
Lakshay Wagle,BTechCSE033,STU033,ENR033,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Pune,Maharashtra,India,lakshay88@example.com,9.19013E+11,UPI,60,75,Non-AC,424181,17/12/2004
Navya Anand,BTechCSE034,STU034,ENR034,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Single Occupancy,Jaipur,Rajasthan,India,neysa21@example.net,9.17555E+11,UPI,66,69,Non-AC,451741,08/06/2004
Tushar Doshi,BTechCSE035,STU035,ENR035,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Triple Occupancy,Lucknow,Uttar Pradesh,India,rattilakshay@example.com,9.18899E+11,RTGS,80,65,Non-AC,194378,24/08/2005
Mannat Rastogi,BTechCSE036,STU036,ENR036,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Double Occupancy,Delhi,Delhi,India,bbir@example.com,9.17721E+11,UPI,77,88,AC,780502,23/03/2004
Anahita Basu,BTechCSE037,STU037,ENR037,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Business Analytics and Optimization,169000,154000,15000,0,Yes,Triple Occupancy,Jaipur,Rajasthan,India,indrajitarora@example.com,9.17094E+11,Cheque,62,87,AC,244624,24/01/2004
Dishani Walla,BTechCSE038,STU038,ENR038,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Hyderabad,Telangana,India,mehul27@example.com,9.19336E+11,UPI,78,64,Non-AC,468919,29/04/2001
Samaira Dalal,BTechCSE039,STU039,ENR039,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Chennai,Tamil Nadu,India,urviranganathan@example.com,9.17907E+11,Cash,82,69,Non-AC,736183,09/06/2006
Shamik Kapoor,BTechCSE040,STU040,ENR040,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,bakshiriya@example.org,9.17659E+11,Cash,77,89,AC,313011,08/06/2005
Kiaan Ben,BTechCSE041,STU041,ENR041,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Geographical Information Systems and Remote Sensing,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,tjhaveri@example.org,9.19229E+11,RTGS,82,73,Non-AC,653654,07/08/2001
Zoya Gole,BTechCSE042,STU042,ENR042,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Pune,Maharashtra,India,deolmamooty@example.net,9.19778E+11,Cash,70,72,AC,694439,09/05/2004
Samiha Savant,BTechCSE043,STU043,ENR043,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Single Occupancy,Mumbai,Maharashtra,India,ojas68@example.org,9.17969E+11,DD,76,74,Non-AC,256055,01/06/2002
Adira De,BTechCSE044,STU044,ENR044,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Kolkata,West Bengal,India,gbumb@example.org,9.19731E+11,DD,70,74,Non-AC,710321,18/10/2004
Shamik Iyengar,BTechCSE045,STU045,ENR045,2019,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Ahmedabad,Gujarat,India,nayantara64@example.net,9.19847E+11,Cheque,60,89,Non-AC,258026,11/09/2000
Shamik Srinivasan,BTechCSE046,STU046,ENR046,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Single Occupancy,Pune,Maharashtra,India,surzain@example.com,9.19812E+11,DD,76,78,Non-AC,125004,26/08/2004
Manjari Dasgupta,BTechCSE047,STU047,ENR047,2018,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cloud Computing and Virtualization,169000,154000,15000,0,Yes,Single Occupancy,Kolkata,West Bengal,India,chaudharidharmajan@example.org,9.1905E+11,UPI,64,73,Non-AC,424790,25/08/2003
Raghav Bahl,BTechCSE048,STU048,ENR048,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Science,169000,154000,15000,0,Yes,Triple Occupancy,Bengaluru,Karnataka,India,rameshbiju@example.net,9.18598E+11,DD,69,72,Non-AC,166619,18/05/2004
Seher Saraf,BTechCSE049,STU049,ENR049,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Mumbai,Maharashtra,India,dugardivit@example.net,9.19923E+11,DD,72,81,Non-AC,473601,22/07/2004
Charvi Arya,BTechCSE050,STU050,ENR050,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Full Stack Development,169000,154000,15000,0,Yes,Triple Occupancy,Mumbai,Maharashtra,India,lsridhar@example.com,9.1946E+11,UPI,61,77,Non-AC,782029,19/12/2005
Shlok Hayer,BTechCSE051,STU051,ENR051,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Double Occupancy,Bengaluru,Karnataka,India,nayantara66@example.net,9.18387E+11,Cash,81,80,AC,504097,26/10/2005
Zara Shan,BTechCSE052,STU052,ENR052,2022,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Gaming Technology,169000,154000,15000,0,Yes,Single Occupancy,Hyderabad,Telangana,India,anahitashenoy@example.net,9.19021E+11,DD,70,81,Non-AC,173800,23/11/2005
Heer Keer,BTechCSE053,STU053,ENR053,2020,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Data Analytics,169000,154000,15000,0,Yes,Single Occupancy,Ahmedabad,Gujarat,India,mehul50@example.net,9.19832E+11,DD,90,65,AC,162264,19/02/2004
Drishya Char,BTechCSE054,STU054,ENR054,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Delhi,Delhi,India,farhan58@example.net,9.19272E+11,Cash,79,67,AC,260840,08/08/2002
Anahi Thakur,BTechCSE055,STU055,ENR055,2023,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Artificial Intelligence and Machine Learning,169000,154000,15000,0,Yes,Single Occupancy,Pune,Maharashtra,India,hanshsehgal@example.org,9.18131E+11,Cheque,61,63,AC,506367,29/09/2003
Sana Ganguly,BTechCSE056,STU056,ENR056,2021,B.Tech in Computer Science and Engineering,4,Computer Science and Engineering,Cyber Security and Digital Forensic,169000,154000,15000,0,Yes,Double Occupancy,Chennai,Tamil Nadu,India,miraankashyap@example.net,9.18164E+11,DD,87,77,AC,479604,01/04/2002
